Date,Open,High,Low,Close
2016-04-22,10377.219727,10422.860352,10324.830078,10373.490234
2016-04-25,10379.160156,10399.299805,10233.419922,10294.349609
2016-04-26,10359.769531,10385.230469,10213.549805,10259.589844
2016-04-27,10283.099609,10323.25,10220.570313,10299.830078
2016-04-28,10222.110352,10331.929688,10125.519531,10321.150391
2016-04-29,10235.469727,10252.080078,10038.969727,10038.969727
2016-05-02,10091.169922,10153.900391,10066.339844,10123.269531
2016-05-03,10052.549805,10061.950195,9918.429688,9926.769531
2016-05-04,9925.25,9959.419922,9812.730469,9828.25
2016-05-05,9849.700195,9921.370117,9805.549805,9851.860352
2016-05-06,9805.389648,9917.629883,9737.0,9869.950195
2016-05-09,9929.19043,10068.530273,9878.709961,9980.490234
2016-05-10,10057.530273,10106.929688,9994.580078,10045.44043
2016-05-11,10055.400391,10055.700195,9950.110352,9975.320313
2016-05-12,9899.900391,10078.19043,9838.120117,9862.120117
2016-05-13,9794.830078,9979.929688,9767.94043,9952.900391
2016-05-17,10016.790039,10080.30957,9846.910156,9890.19043
2016-05-18,9828.049805,9946.269531,9811.860352,9943.230469
2016-05-19,9847.639648,9899.860352,9773.719727,9795.889648
2016-05-20,9878.490234,9921.589844,9852.709961,9916.019531
2016-05-23,9891.379883,9971.740234,9811.740234,9842.290039
2016-05-24,9798.94043,10077.650391,9773.799805,10057.30957
2016-05-25,10143.370117,10233.05957,10130.679688,10205.209961
2016-05-26,10213.870117,10286.230469,10207.089844,10272.709961
2016-05-27,10257.910156,10298.759766,10241.980469,10286.30957
2016-05-30,10293.429688,10338.410156,10286.330078,10333.230469
2016-05-31,10356.139648,10365.240234,10243.219727,10262.740234
2016-06-01,10242.780273,10283.820313,10160.240234,10204.44043
2016-06-02,10199.200195,10241.75,10156.860352,10208.0
2016-06-03,10237.580078,10282.719727,10040.870117,10103.259766
2016-06-06,10105.089844,10148.959961,10092.860352,10121.080078
2016-06-07,10196.169922,10312.530273,10183.19043,10287.679688
2016-06-08,10246.490234,10266.370117,10177.44043,10217.030273
2016-06-09,10184.480469,10187.070313,10050.030273,10088.870117
2016-06-10,10024.69043,10026.490234,9819.120117,9834.620117
2016-06-13,9715.780273,9755.230469,9657.44043,9657.44043
2016-06-14,9595.169922,9620.839844,9507.509766,9519.200195
2016-06-15,9589.469727,9665.209961,9567.150391,9606.709961
2016-06-16,9480.429688,9582.379883,9432.870117,9550.469727
2016-06-17,9620.919922,9705.290039,9578.150391,9631.360352
2016-06-20,9850.589844,9996.55957,9850.589844,9962.019531
2016-06-21,9943.839844,10051.070313,9930.099609,10015.540039
2016-06-22,10084.740234,10149.80957,10043.679688,10071.05957
2016-06-23,10122.469727,10340.839844,10104.919922,10257.030273
2016-06-24,9237.620117,9720.120117,9226.150391,9557.160156
2016-06-27,9516.919922,9589.280273,9214.099609,9268.660156
2016-06-28,9458.379883,9554.410156,9419.379883,9447.280273
2016-06-29,9557.69043,9640.389648,9506.290039,9612.269531
2016-06-30,9566.070313,9695.589844,9513.519531,9680.089844
2016-07-01,9742.839844,9806.469727,9657.629883,9776.120117
2016-07-04,9797.660156,9808.990234,9701.150391,9709.089844
2016-07-05,9656.049805,9659.410156,9506.839844,9532.610352
2016-07-06,9449.570313,9530.589844,9304.009766,9373.259766
2016-07-07,9437.469727,9507.910156,9399.69043,9418.780273
2016-07-08,9392.200195,9655.919922,9389.049805,9629.660156
2016-07-11,9744.799805,9841.860352,9690.179688,9833.410156
2016-07-12,9850.400391,10013.490234,9841.110352,9964.070313
2016-07-13,9941.990234,10001.870117,9919.410156,9930.709961
2016-07-14,10058.490234,10109.860352,9984.549805,10068.299805
2016-07-15,10031.179688,10098.75,9987.049805,10066.900391
2016-07-18,10079.030273,10160.299805,10011.839844,10063.129883
2016-07-19,10038.950195,10050.769531,9923.639648,9981.240234
2016-07-20,10054.540039,10146.709961,9991.650391,10142.009766
2016-07-21,10195.400391,10195.650391,10090.120117,10156.209961
2016-07-22,10130.509766,10181.240234,10073.280273,10147.459961
2016-07-25,10155.200195,10264.05957,10125.219727,10198.240234
2016-07-26,10199.660156,10275.410156,10150.0,10247.759766
2016-07-27,10314.429688,10352.320313,10298.400391,10319.549805
2016-07-28,10309.919922,10381.900391,10264.389648,10274.929688
2016-07-29,10320.820313,10355.30957,10287.320313,10337.5
2016-08-01,10426.360352,10459.339844,10277.370117,10330.519531
2016-08-02,10328.870117,10330.639648,10128.980469,10144.339844
2016-08-03,10150.129883,10189.150391,10092.530273,10170.209961
2016-08-04,10237.080078,10282.169922,10182.400391,10227.860352
2016-08-05,10242.879883,10374.330078,10216.639648,10367.209961
2016-08-08,10407.5,10478.75,10403.469727,10432.360352
2016-08-09,10438.599609,10701.330078,10433.790039,10692.900391
2016-08-10,10676.900391,10708.25,10635.110352,10650.889648
2016-08-11,10687.570313,10742.839844,10635.419922,10742.839844
2016-08-12,10718.330078,10735.110352,10685.519531,10713.429688
2016-08-15,10719.139648,10802.320313,10712.129883,10739.209961
2016-08-16,10666.719727,10737.070313,10634.679688,10676.650391
2016-08-17,10694.549805,10696.759766,10516.049805,10537.669922
2016-08-18,10613.080078,10625.330078,10548.969727,10603.030273
2016-08-19,10613.230469,10618.110352,10490.959961,10544.360352
2016-08-22,10528.879883,10656.25,10443.480469,10494.349609
2016-08-23,10542.950195,10627.0,10516.269531,10592.879883
2016-08-24,10531.139648,10653.169922,10515.160156,10622.969727
2016-08-25,10576.55957,10576.55957,10470.730469,10529.589844
2016-08-26,10512.209961,10613.05957,10484.030273,10587.769531
2016-08-29,10503.879883,10566.69043,10441.80957,10544.44043
2016-08-30,10588.709961,10688.480469,10588.480469,10657.639648
2016-08-31,10627.179688,10666.80957,10591.44043,10592.69043
2016-09-01,10622.330078,10676.320313,10492.290039,10534.30957
2016-09-02,10570.700195,10693.639648,10516.80957,10683.820313
2016-09-05,10712.169922,10740.389648,10671.549805,10672.219727
2016-09-06,10704.889648,10742.490234,10657.429688,10687.139648
2016-09-07,10706.860352,10775.929688,10659.730469,10752.980469
2016-09-08,10749.820313,10780.419922,10570.05957,10675.290039
2016-09-09,10641.80957,10671.660156,10539.30957,10573.44043
2016-09-12,10380.459961,10431.900391,10299.379883,10431.769531
2016-09-13,10483.070313,10507.040039,10382.849609,10386.599609
2016-09-14,10410.299805,10450.410156,10369.719727,10378.400391
2016-09-15,10360.839844,10446.400391,10337.230469,10431.200195
2016-09-16,10403.669922,10427.200195,10262.19043,10276.169922
2016-09-19,10349.870117,10381.929688,10326.75,10373.870117
2016-09-20,10374.679688,10465.950195,10371.620117,10393.860352
2016-09-21,10496.429688,10535.25,10427.219727,10436.490234
2016-09-22,10518.530273,10705.400391,10517.799805,10674.179688
2016-09-23,10662.490234,10675.620117,10610.950195,10626.969727
2016-09-26,10555.19043,10560.830078,10385.629883,10393.709961
2016-09-27,10451.400391,10455.879883,10265.69043,10361.480469
2016-09-28,10425.889648,10518.360352,10417.150391,10438.339844
2016-09-29,10545.599609,10575.339844,10370.230469,10405.540039
2016-09-30,10240.69043,10531.259766,10189.94043,10511.019531
2016-10-04,10492.969727,10646.719727,10492.25,10619.610352
2016-10-05,10535.620117,10622.44043,10486.629883,10585.780273
2016-10-06,10641.129883,10641.129883,10537.679688,10568.799805
2016-10-07,10549.69043,10579.089844,10465.349609,10490.860352
2016-10-10,10496.009766,10639.410156,10454.980469,10624.080078
